severity,comparison,calibrated_wer,baseline_wer,rel_reduction (%),p_value
control_typical,calibrated_atypical vs standard_single_gate,90.47,107.04,15.49,3.1611e-01
control_typical,calibrated_atypical vs matched_single_gate,90.47,105.03,13.86,2.6151e-01
control_typical,calibrated_atypical vs decoupled_severity_moe,90.47,98.66,8.3,5.1389e-01
mild_dysarthria,calibrated_atypical vs standard_single_gate,112.05,129.59,13.53,1.1437e-02
mild_dysarthria,calibrated_atypical vs matched_single_gate,112.05,119.16,5.96,1.4628e-01
mild_dysarthria,calibrated_atypical vs decoupled_severity_moe,112.05,118.1,5.12,4.2474e-01
moderate_dysarthria,calibrated_atypical vs standard_single_gate,111.76,106.93,-4.51,5.6848e-01
moderate_dysarthria,calibrated_atypical vs matched_single_gate,111.76,101.72,-9.87,2.1321e-01
moderate_dysarthria,calibrated_atypical vs decoupled_severity_moe,111.76,108.36,-3.13,7.2156e-01
severe_dysarthria,calibrated_atypical vs standard_single_gate,100.1,101.57,1.44,2.1907e-01
severe_dysarthria,calibrated_atypical vs matched_single_gate,100.1,100.0,-0.1,3.7390e-01
severe_dysarthria,calibrated_atypical vs decoupled_severity_moe,100.1,100.0,-0.1,3.7390e-01
