seed,model_name,severity,WER (%),CER (%),sub_rate,del_rate,ins_rate
1,standard_single_gate,control_typical,99.5,38.0,45.27,54.23,0.0
1,standard_single_gate,mild_dysarthria,115.02,55.21,93.43,6.57,15.02
1,standard_single_gate,moderate_dysarthria,103.43,70.51,80.39,19.61,3.43
1,standard_single_gate,severe_dysarthria,100.51,85.17,59.39,40.61,0.51
1,matched_single_gate,control_typical,100.0,43.13,44.28,55.22,0.5
1,matched_single_gate,mild_dysarthria,119.72,54.55,93.9,6.1,19.72
1,matched_single_gate,moderate_dysarthria,100.0,65.75,43.14,56.86,0.0
1,matched_single_gate,severe_dysarthria,100.0,83.68,25.38,74.62,0.0
1,decoupled_severity_moe,control_typical,96.52,17.01,39.8,56.72,0.0
1,decoupled_severity_moe,mild_dysarthria,101.88,35.18,69.01,30.52,2.35
1,decoupled_severity_moe,moderate_dysarthria,100.0,51.17,91.18,8.82,0.0
1,decoupled_severity_moe,severe_dysarthria,100.0,87.71,24.37,75.63,0.0
1,calibrated_atypical_moe,control_typical,94.03,15.1,38.81,55.22,0.0
1,calibrated_atypical_moe,mild_dysarthria,107.51,25.97,86.85,6.57,14.08
1,calibrated_atypical_moe,moderate_dysarthria,135.78,56.37,91.67,8.33,35.78
1,calibrated_atypical_moe,severe_dysarthria,100.0,70.29,30.46,69.54,0.0
2,standard_single_gate,control_typical,102.42,27.13,83.09,12.08,7.25
2,standard_single_gate,mild_dysarthria,142.55,56.1,96.28,3.72,42.55
2,standard_single_gate,moderate_dysarthria,100.5,53.69,67.66,32.34,0.5
2,standard_single_gate,severe_dysarthria,101.03,81.44,50.0,50.0,1.03
2,matched_single_gate,control_typical,103.38,31.73,82.61,15.94,4.83
2,matched_single_gate,mild_dysarthria,129.79,60.11,89.36,9.57,30.85
2,matched_single_gate,moderate_dysarthria,101.0,57.62,42.79,57.21,1.0
2,matched_single_gate,severe_dysarthria,100.0,83.86,27.32,72.68,0.0
2,decoupled_severity_moe,control_typical,91.79,12.47,59.42,8.7,23.67
2,decoupled_severity_moe,mild_dysarthria,135.64,45.57,87.77,10.11,37.77
2,decoupled_severity_moe,moderate_dysarthria,101.0,54.34,56.22,43.78,1.0
2,decoupled_severity_moe,severe_dysarthria,100.0,89.93,25.26,74.74,0.0
2,calibrated_atypical_moe,control_typical,112.56,17.92,83.57,0.97,28.02
2,calibrated_atypical_moe,mild_dysarthria,127.66,48.92,95.74,4.26,27.66
2,calibrated_atypical_moe,moderate_dysarthria,100.5,56.2,48.26,51.74,0.5
2,calibrated_atypical_moe,severe_dysarthria,100.0,94.77,20.1,79.9,0.0
3,standard_single_gate,control_typical,118.01,39.32,86.26,10.43,21.33
3,standard_single_gate,mild_dysarthria,136.82,57.09,96.02,3.98,36.82
3,standard_single_gate,moderate_dysarthria,108.91,61.44,85.64,14.36,8.91
3,standard_single_gate,severe_dysarthria,100.96,83.34,58.37,41.63,0.96
3,matched_single_gate,control_typical,122.75,40.67,92.42,6.64,23.7
3,matched_single_gate,mild_dysarthria,128.86,60.19,93.53,6.47,28.86
3,matched_single_gate,moderate_dysarthria,101.49,68.66,67.82,32.18,1.49
3,matched_single_gate,severe_dysarthria,100.0,86.99,42.11,57.89,0.0
3,decoupled_severity_moe,control_typical,111.37,22.93,77.73,5.21,28.44
3,decoupled_severity_moe,mild_dysarthria,127.86,51.05,95.02,4.98,27.86
3,decoupled_severity_moe,moderate_dysarthria,100.5,58.64,44.55,55.45,0.5
3,decoupled_severity_moe,severe_dysarthria,100.0,96.46,16.27,83.73,0.0
3,calibrated_atypical_moe,control_typical,101.9,21.72,73.93,11.85,16.11
3,calibrated_atypical_moe,mild_dysarthria,119.9,41.53,90.05,9.45,20.4
3,calibrated_atypical_moe,moderate_dysarthria,100.0,57.51,52.97,46.53,0.5
3,calibrated_atypical_moe,severe_dysarthria,100.0,90.32,23.44,76.56,0.0
4,standard_single_gate,control_typical,99.03,37.77,34.78,64.25,0.0
4,standard_single_gate,mild_dysarthria,131.84,62.49,72.14,27.86,31.84
4,standard_single_gate,moderate_dysarthria,121.83,56.67,95.43,4.57,21.83
4,standard_single_gate,severe_dysarthria,105.34,69.6,68.45,31.55,5.34
4,matched_single_gate,control_typical,100.0,45.24,48.31,51.69,0.0
4,matched_single_gate,mild_dysarthria,117.41,61.69,75.12,24.38,17.91
4,matched_single_gate,moderate_dysarthria,106.09,69.06,88.83,11.17,6.09
4,matched_single_gate,severe_dysarthria,100.0,87.8,24.76,75.24,0.0
4,decoupled_severity_moe,control_typical,100.0,24.25,36.71,63.29,0.0
4,decoupled_severity_moe,mild_dysarthria,129.35,53.2,70.65,28.86,29.85
4,decoupled_severity_moe,moderate_dysarthria,130.96,61.04,97.97,2.03,30.96
4,decoupled_severity_moe,severe_dysarthria,100.0,80.16,28.64,71.36,0.0
4,calibrated_atypical_moe,control_typical,99.52,20.52,41.06,57.97,0.48
4,calibrated_atypical_moe,mild_dysarthria,100.0,51.8,43.28,56.72,0.0
4,calibrated_atypical_moe,moderate_dysarthria,112.18,47.26,82.74,17.26,12.18
4,calibrated_atypical_moe,severe_dysarthria,100.0,92.79,23.79,76.21,0.0
5,standard_single_gate,control_typical,116.26,24.55,81.77,11.33,23.15
5,standard_single_gate,mild_dysarthria,121.7,62.51,96.23,2.83,22.64
5,standard_single_gate,moderate_dysarthria,100.0,69.59,41.38,58.62,0.0
5,standard_single_gate,severe_dysarthria,100.0,93.22,24.37,75.63,0.0
5,matched_single_gate,control_typical,99.01,38.93,64.53,34.48,0.0
5,matched_single_gate,mild_dysarthria,100.0,62.88,45.75,54.25,0.0
5,matched_single_gate,moderate_dysarthria,100.0,80.57,24.63,75.37,0.0
5,matched_single_gate,severe_dysarthria,100.0,97.63,14.21,85.79,0.0
5,decoupled_severity_moe,control_typical,93.6,11.1,59.61,10.34,23.65
5,decoupled_severity_moe,mild_dysarthria,95.75,44.09,60.85,34.91,0.0
5,decoupled_severity_moe,moderate_dysarthria,109.36,57.76,80.79,19.21,9.36
5,decoupled_severity_moe,severe_dysarthria,100.0,95.26,20.81,79.19,0.0
5,calibrated_atypical_moe,control_typical,44.33,6.45,42.36,1.48,0.49
5,calibrated_atypical_moe,mild_dysarthria,105.19,40.34,70.28,26.42,8.49
5,calibrated_atypical_moe,moderate_dysarthria,110.34,51.85,79.31,20.69,10.34
5,calibrated_atypical_moe,severe_dysarthria,100.51,72.29,44.67,55.33,0.51
