decoding_system,severity,CER (%),WER (%),del_rate,sub_rate,ins_rate
1. Baseline Greedy CTC,control_typical,15.43,79.52,28.92,50.2,0.4
1. Baseline Greedy CTC,mild_dysarthria,49.54,135.71,7.56,91.18,36.97
1. Baseline Greedy CTC,moderate_dysarthria,60.94,108.13,36.18,63.82,8.13
1. Baseline Greedy CTC,severe_dysarthria,90.28,100.0,76.28,23.72,0.0
2. CTC Prefix Beam Search,control_typical,14.11,77.11,28.92,47.79,0.4
2. CTC Prefix Beam Search,mild_dysarthria,46.45,140.76,7.56,91.18,42.02
2. CTC Prefix Beam Search,moderate_dysarthria,57.07,107.72,36.18,63.82,7.72
2. CTC Prefix Beam Search,severe_dysarthria,76.53,100.0,62.45,37.55,0.0
3. CTC + Blank Penalty (gamma=0.2),control_typical,15.25,79.12,28.92,49.4,0.8
3. CTC + Blank Penalty (gamma=0.2),mild_dysarthria,49.22,139.5,7.56,91.18,40.76
3. CTC + Blank Penalty (gamma=0.2),moderate_dysarthria,59.95,108.94,35.37,64.63,8.94
3. CTC + Blank Penalty (gamma=0.2),severe_dysarthria,88.26,100.0,76.28,23.72,0.0
4. CTC + Beam Search + LM,control_typical,13.98,75.1,29.72,45.38,0.0
4. CTC + Beam Search + LM,mild_dysarthria,47.69,120.17,17.65,80.67,21.85
4. CTC + Beam Search + LM,moderate_dysarthria,57.7,100.41,44.31,55.69,0.41
4. CTC + Beam Search + LM,severe_dysarthria,81.0,100.0,82.61,17.39,0.0
5. CTC + Beam + LM + Lexicon,control_typical,13.8,74.7,29.72,44.98,0.0
5. CTC + Beam + LM + Lexicon,mild_dysarthria,47.55,119.33,17.65,80.25,21.43
5. CTC + Beam + LM + Lexicon,moderate_dysarthria,57.7,100.41,44.31,55.69,0.41
5. CTC + Beam + LM + Lexicon,severe_dysarthria,81.0,100.0,82.61,17.39,0.0
6. Full Pipeline (Blank Pen + Beam + LM + Lexicon),control_typical,13.58,73.09,29.72,43.37,0.0
6. Full Pipeline (Blank Pen + Beam + LM + Lexicon),mild_dysarthria,46.91,121.43,15.97,82.77,22.69
6. Full Pipeline (Blank Pen + Beam + LM + Lexicon),moderate_dysarthria,56.53,101.63,43.9,56.1,1.63
6. Full Pipeline (Blank Pen + Beam + LM + Lexicon),severe_dysarthria,77.52,100.0,80.63,19.37,0.0
