seed,model_gate_type,domain,substitutions,deletions,insertions,total_wer
1,multi_gate,adult_speech,14.29,0.0,0.65,14.94
1,multi_gate,child_speech,53.25,2.6,1.95,57.79
1,multi_gate,dysarthric_speech,23.75,0.62,0.31,24.69
1,single_gate,adult_speech,42.86,0.65,2.27,45.78
1,single_gate,child_speech,62.66,13.31,0.65,76.62
1,single_gate,dysarthric_speech,50.94,0.0,1.88,52.81
1,continuous_acoustic,adult_speech,40.58,0.0,0.32,40.91
1,continuous_acoustic,child_speech,62.01,3.25,2.27,67.53
1,continuous_acoustic,dysarthric_speech,32.5,0.31,0.62,33.44
2,multi_gate,adult_speech,11.53,0.0,0.31,11.84
2,multi_gate,child_speech,64.49,3.74,1.56,69.78
2,multi_gate,dysarthric_speech,18.15,0.0,0.96,19.11
2,single_gate,adult_speech,44.55,0.31,0.93,45.79
2,single_gate,child_speech,67.91,10.28,0.31,78.5
2,single_gate,dysarthric_speech,33.44,0.32,2.55,36.31
2,continuous_acoustic,adult_speech,20.56,0.0,1.56,22.12
2,continuous_acoustic,child_speech,60.44,3.12,1.25,64.8
2,continuous_acoustic,dysarthric_speech,22.93,0.32,1.59,24.84
3,multi_gate,adult_speech,13.61,0.0,0.32,13.92
3,multi_gate,child_speech,50.8,4.15,2.56,57.51
3,multi_gate,dysarthric_speech,21.47,0.92,1.53,23.93
3,single_gate,adult_speech,44.62,0.0,2.22,46.84
3,single_gate,child_speech,61.02,8.95,0.64,70.61
3,single_gate,dysarthric_speech,40.49,0.31,3.37,44.17
3,continuous_acoustic,adult_speech,28.16,0.32,0.63,29.11
3,continuous_acoustic,child_speech,55.27,4.47,2.24,61.98
3,continuous_acoustic,dysarthric_speech,26.99,0.92,3.37,31.29
4,multi_gate,adult_speech,7.44,0.0,0.32,7.77
4,multi_gate,child_speech,54.1,4.26,1.31,59.67
4,multi_gate,dysarthric_speech,19.03,1.61,1.94,22.58
4,single_gate,adult_speech,42.39,0.0,0.97,43.37
4,single_gate,child_speech,59.02,10.82,0.0,69.84
4,single_gate,dysarthric_speech,38.06,1.61,2.58,42.26
4,continuous_acoustic,adult_speech,34.95,0.0,2.27,37.22
4,continuous_acoustic,child_speech,61.64,7.54,0.33,69.51
4,continuous_acoustic,dysarthric_speech,24.84,1.29,1.94,28.06
5,multi_gate,adult_speech,13.42,0.0,0.0,13.42
5,multi_gate,child_speech,60.99,4.95,1.86,67.8
5,multi_gate,dysarthric_speech,18.1,2.86,0.95,21.9
5,single_gate,adult_speech,48.88,0.0,0.64,49.52
5,single_gate,child_speech,63.16,10.22,0.31,73.68
5,single_gate,dysarthric_speech,36.51,0.95,2.22,39.68
5,continuous_acoustic,adult_speech,26.2,0.0,1.92,28.12
5,continuous_acoustic,child_speech,63.47,3.41,1.24,68.11
5,continuous_acoustic,dysarthric_speech,23.49,0.0,1.59,25.08
