model_gate_type,task_a,task_b,cosine_similarity,seed
multi_gate,adult_speech,child_speech,0.7588157653808594,1
multi_gate,adult_speech,dysarthric_speech,0.6285627484321594,1
multi_gate,child_speech,dysarthric_speech,0.9660714268684387,1
single_gate,adult_speech,child_speech,0.969761312007904,1
single_gate,adult_speech,dysarthric_speech,0.8733997941017151,1
single_gate,child_speech,dysarthric_speech,0.8820011019706726,1
continuous_acoustic,adult_speech,child_speech,0.9513612985610962,1
continuous_acoustic,adult_speech,dysarthric_speech,0.9399092197418213,1
continuous_acoustic,child_speech,dysarthric_speech,0.8138395547866821,1
multi_gate,adult_speech,child_speech,0.7914108037948608,2
multi_gate,adult_speech,dysarthric_speech,0.923236072063446,2
multi_gate,child_speech,dysarthric_speech,0.7076189517974854,2
single_gate,adult_speech,child_speech,0.9914812445640564,2
single_gate,adult_speech,dysarthric_speech,0.9913477301597595,2
single_gate,child_speech,dysarthric_speech,0.982218325138092,2
continuous_acoustic,adult_speech,child_speech,0.9175089597702026,2
continuous_acoustic,adult_speech,dysarthric_speech,0.9036869406700134,2
continuous_acoustic,child_speech,dysarthric_speech,0.6746324300765991,2
multi_gate,adult_speech,child_speech,0.9205319285392761,3
multi_gate,adult_speech,dysarthric_speech,0.9507845044136047,3
multi_gate,child_speech,dysarthric_speech,0.9061850309371948,3
single_gate,adult_speech,child_speech,0.9912980794906616,3
single_gate,adult_speech,dysarthric_speech,0.9817070960998535,3
single_gate,child_speech,dysarthric_speech,0.995968222618103,3
continuous_acoustic,adult_speech,child_speech,0.9501355886459351,3
continuous_acoustic,adult_speech,dysarthric_speech,0.9584470391273499,3
continuous_acoustic,child_speech,dysarthric_speech,0.8431612849235535,3
multi_gate,adult_speech,child_speech,0.9147326946258545,4
multi_gate,adult_speech,dysarthric_speech,0.8508247137069702,4
multi_gate,child_speech,dysarthric_speech,0.6486879587173462,4
single_gate,adult_speech,child_speech,0.998229444026947,4
single_gate,adult_speech,dysarthric_speech,0.9041910767555237,4
single_gate,child_speech,dysarthric_speech,0.9009207487106323,4
continuous_acoustic,adult_speech,child_speech,0.9860808253288269,4
continuous_acoustic,adult_speech,dysarthric_speech,0.5188167691230774,4
continuous_acoustic,child_speech,dysarthric_speech,0.3841077983379364,4
multi_gate,adult_speech,child_speech,0.8848608136177063,5
multi_gate,adult_speech,dysarthric_speech,0.8310912251472473,5
multi_gate,child_speech,dysarthric_speech,0.9245680570602417,5
single_gate,adult_speech,child_speech,0.9968428611755371,5
single_gate,adult_speech,dysarthric_speech,0.9167349338531494,5
single_gate,child_speech,dysarthric_speech,0.9076438546180725,5
continuous_acoustic,adult_speech,child_speech,0.9079149961471558,5
continuous_acoustic,adult_speech,dysarthric_speech,0.9389535784721375,5
continuous_acoustic,child_speech,dysarthric_speech,0.7927683591842651,5
