seed,model_gate_type,domain,WER (%),CER (%),word_sub_rate (%),word_del_rate (%),word_ins_rate (%)
1,multi_gate,adult_speech,14.94,1.77,14.29,0.0,0.65
1,multi_gate,child_speech,57.79,10.39,53.25,2.6,1.95
1,multi_gate,dysarthric_speech,24.69,3.54,23.75,0.62,0.31
1,single_gate,adult_speech,45.78,7.29,42.86,0.65,2.27
1,single_gate,child_speech,76.62,17.91,62.66,13.31,0.65
1,single_gate,dysarthric_speech,52.81,8.56,50.94,0.0,1.88
1,continuous_acoustic,adult_speech,40.91,6.12,40.58,0.0,0.32
1,continuous_acoustic,child_speech,67.53,13.14,62.01,3.25,2.27
1,continuous_acoustic,dysarthric_speech,33.44,5.14,32.5,0.31,0.62
2,multi_gate,adult_speech,11.84,1.55,11.53,0.0,0.31
2,multi_gate,child_speech,69.78,13.77,64.49,3.74,1.56
2,multi_gate,dysarthric_speech,19.11,2.61,18.15,0.0,0.96
2,single_gate,adult_speech,45.79,8.56,44.55,0.31,0.93
2,single_gate,child_speech,78.5,16.26,67.91,10.28,0.31
2,single_gate,dysarthric_speech,36.31,5.8,33.44,0.32,2.55
2,continuous_acoustic,adult_speech,22.12,2.85,20.56,0.0,1.56
2,continuous_acoustic,child_speech,64.8,12.24,60.44,3.12,1.25
2,continuous_acoustic,dysarthric_speech,24.84,3.73,22.93,0.32,1.59
3,multi_gate,adult_speech,13.92,1.82,13.61,0.0,0.32
3,multi_gate,child_speech,57.51,9.65,50.8,4.15,2.56
3,multi_gate,dysarthric_speech,23.93,3.29,21.47,0.92,1.53
3,single_gate,adult_speech,46.84,8.45,44.62,0.0,2.22
3,single_gate,child_speech,70.61,14.69,61.02,8.95,0.64
3,single_gate,dysarthric_speech,44.17,7.03,40.49,0.31,3.37
3,continuous_acoustic,adult_speech,29.11,4.1,28.16,0.32,0.63
3,continuous_acoustic,child_speech,61.98,12.25,55.27,4.47,2.24
3,continuous_acoustic,dysarthric_speech,31.29,4.1,26.99,0.92,3.37
4,multi_gate,adult_speech,7.77,0.96,7.44,0.0,0.32
4,multi_gate,child_speech,59.67,11.88,54.1,4.26,1.31
4,multi_gate,dysarthric_speech,22.58,3.11,19.03,1.61,1.94
4,single_gate,adult_speech,43.37,8.13,42.39,0.0,0.97
4,single_gate,child_speech,69.84,14.96,59.02,10.82,0.0
4,single_gate,dysarthric_speech,42.26,6.75,38.06,1.61,2.58
4,continuous_acoustic,adult_speech,37.22,5.7,34.95,0.0,2.27
4,continuous_acoustic,child_speech,69.51,13.66,61.64,7.54,0.33
4,continuous_acoustic,dysarthric_speech,28.06,3.85,24.84,1.29,1.94
5,multi_gate,adult_speech,13.42,1.72,13.42,0.0,0.0
5,multi_gate,child_speech,67.8,11.99,60.99,4.95,1.86
5,multi_gate,dysarthric_speech,21.9,2.78,18.1,2.86,0.95
5,single_gate,adult_speech,49.52,8.58,48.88,0.0,0.64
5,single_gate,child_speech,73.68,15.58,63.16,10.22,0.31
5,single_gate,dysarthric_speech,39.68,6.02,36.51,0.95,2.22
5,continuous_acoustic,adult_speech,28.12,3.78,26.2,0.0,1.92
5,continuous_acoustic,child_speech,68.11,13.1,63.47,3.41,1.24
5,continuous_acoustic,dysarthric_speech,25.08,3.58,23.49,0.0,1.59
