lambda_bal,seed,domain,WER
0.0,1,adult_speech,25.37
0.0,1,child_speech,66.33
0.0,1,dysarthric_speech,38.46
0.0,2,adult_speech,20.41
0.0,2,child_speech,70.24
0.0,2,dysarthric_speech,41.92
0.0,3,adult_speech,18.42
0.0,3,child_speech,63.32
0.0,3,dysarthric_speech,33.83
0.0,4,adult_speech,25.38
0.0,4,child_speech,71.29
0.0,4,dysarthric_speech,47.8
0.0,5,adult_speech,18.46
0.0,5,child_speech,64.29
0.0,5,dysarthric_speech,70.79
0.005,1,adult_speech,20.49
0.005,1,child_speech,69.35
0.005,1,dysarthric_speech,101.54
0.005,2,adult_speech,15.82
0.005,2,child_speech,65.37
0.005,2,dysarthric_speech,36.36
0.005,3,adult_speech,17.89
0.005,3,child_speech,67.34
0.005,3,dysarthric_speech,34.83
0.005,4,adult_speech,21.83
0.005,4,child_speech,65.35
0.005,4,dysarthric_speech,46.34
0.005,5,adult_speech,23.59
0.005,5,child_speech,63.78
0.005,5,dysarthric_speech,57.43
0.015,1,adult_speech,20.0
0.015,1,child_speech,73.87
0.015,1,dysarthric_speech,73.85
0.015,2,adult_speech,17.35
0.015,2,child_speech,65.37
0.015,2,dysarthric_speech,39.39
0.015,3,adult_speech,18.42
0.015,3,child_speech,66.83
0.015,3,dysarthric_speech,36.82
0.015,4,adult_speech,24.87
0.015,4,child_speech,68.81
0.015,4,dysarthric_speech,37.07
0.015,5,adult_speech,13.85
0.015,5,child_speech,69.9
0.015,5,dysarthric_speech,80.69
0.05,1,adult_speech,21.46
0.05,1,child_speech,65.33
0.05,1,dysarthric_speech,56.41
0.05,2,adult_speech,18.37
0.05,2,child_speech,68.78
0.05,2,dysarthric_speech,45.96
0.05,3,adult_speech,7.89
0.05,3,child_speech,67.34
0.05,3,dysarthric_speech,34.33
0.05,4,adult_speech,29.44
0.05,4,child_speech,64.85
0.05,4,dysarthric_speech,40.0
0.05,5,adult_speech,18.97
0.05,5,child_speech,68.88
0.05,5,dysarthric_speech,46.04
